trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3.566269999999999857e-02	1.174570000000000058e-01	-6.648700000000000443e-02	-9.707679999999999998e-04	2.244799999999999920e-03	-9.871920000000000174e-04
4.358929999999999749e-02	1.400020000000000084e-02	-8.117380000000000428e-02	2.404779999999999971e-04	2.359249999999999802e-03	-9.871920000000000174e-04
3.952069999999999889e-02	1.360409999999999918e-02	-8.459999999999999465e-02	5.027509999999999575e-04	2.427320000000000172e-03	-1.322360000000000072e-03
4.931920000000000054e-02	1.095710000000000017e-01	-6.386350000000000360e-02	-8.546390000000000280e-04	2.407330000000000060e-03	-1.167169999999999926e-03
5.429289999999999811e-02	2.089890000000000150e-02	-7.692540000000000489e-02	4.224489999999999799e-04	2.477920000000000209e-03	-9.871920000000000174e-04
5.429010000000000086e-02	1.954289999999999847e-02	-8.110699999999999854e-02	6.144879999999999483e-04	2.383080000000000094e-03	-9.871920000000000174e-04
4.674849999999999839e-02	1.013639999999999958e-01	-6.518140000000000045e-02	-5.656209999999999840e-04	2.244799999999999920e-03	-9.871920000000000174e-04
4.886059999999999709e-02	1.567050000000000040e-02	-8.215179999999999705e-02	6.459600000000000021e-04	2.483630000000000126e-03	-1.264280000000000004e-03
4.952530000000000127e-02	3.341460000000000263e-02	-8.147459999999999425e-02	4.702670000000000157e-04	2.448779999999999794e-03	-1.263009999999999957e-03
5.025229999999999975e-02	1.116459999999999952e-01	-5.370819999999999761e-02	-9.242270000000000129e-04	2.484979999999999915e-03	-1.388670000000000052e-03
5.429969999999999936e-02	1.729230000000000003e-02	-7.321460000000000468e-02	6.429310000000000146e-04	2.496400000000000181e-03	-9.257739999999999763e-04
5.430480000000000029e-02	5.064849999999999908e-02	-6.492449999999999610e-02	5.719850000000000064e-04	2.568780000000000108e-03	-9.354050000000000472e-04
4.696329999999999949e-02	1.010039999999999966e-01	-4.644390000000000324e-02	-6.252340000000000111e-04	2.352869999999999961e-03	-9.871920000000000174e-04
5.430240000000000067e-02	1.183569999999999935e-02	-8.166809999999999348e-02	6.704670000000000031e-04	2.561320000000000176e-03	-9.871920000000000174e-04
