component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
t_comp_cor_331	0	12.0869170977	0.0001814511	0.9894488578	True
t_comp_cor_332	0	12.0549011060	0.0001804911	0.9896293490	True
t_comp_cor_333	0	12.0187977640	0.0001794117	0.9898087606	True
t_comp_cor_334	0	11.9976819886	0.0001787818	0.9899875424	True
t_comp_cor_335	0	11.9630738187	0.0001777519	0.9901652943	True
t_comp_cor_336	0	11.9516183078	0.0001774116	0.9903427059	True
t_comp_cor_337	0	11.8611066570	0.0001747346	0.9905174405	True
t_comp_cor_338	0	11.8075938047	0.0001731615	0.9906906020	True
t_comp_cor_339	0	11.6922030533	0.0001697936	0.9908603956	True
t_comp_cor_340	0	11.6802831246	0.0001694476	0.9910298432	True
t_comp_cor_341	0	11.6353008528	0.0001681450	0.9911979881	True
t_comp_cor_342	0	11.6048054035	0.0001672647	0.9913652529	True
t_comp_cor_343	0	11.5921217215	0.0001668993	0.9915321521	True
t_comp_cor_344	0	11.5531705897	0.0001657796	0.9916979317	True
t_comp_cor_345	0	11.5349191256	0.0001652562	0.9918631879	True
t_comp_cor_346	0	11.4207649005	0.0001620015	0.9920251894	True
t_comp_cor_347	0	11.4051364027	0.0001615584	0.9921867478	True
t_comp_cor_348	0	11.3683569995	0.0001605181	0.9923472659	True
t_comp_cor_349	0	11.3220804969	0.0001592139	0.9925064798	True
t_comp_cor_350	0	11.2903391947	0.0001583225	0.9926648023	True
t_comp_cor_351	0	11.2430389637	0.0001569987	0.9928218010	True
t_comp_cor_352	0	11.2160016378	0.0001562445	0.9929780455	True
t_comp_cor_353	0	11.1920974712	0.0001555792	0.9931336247	True
t_comp_cor_354	0	11.1417460156	0.0001541825	0.9932878072	True
t_comp_cor_355	0	11.0984048400	0.0001529853	0.9934407925	True
t_comp_cor_356	0	11.0580830943	0.0001518757	0.9935926682	True
t_comp_cor_357	0	11.0315158900	0.0001511468	0.9937438150	True
t_comp_cor_358	0	10.9794751156	0.0001497241	0.9938935391	True
t_comp_cor_359	0	10.9380773666	0.0001485972	0.9940421363	True
t_comp_cor_360	0	10.8947096387	0.0001474212	0.9941895575	True
t_comp_cor_361	0	10.8698467435	0.0001467491	0.9943363066	True
t_comp_cor_362	0	10.7958388319	0.0001447576	0.9944810642	True
