Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07
0.0125754460	-0.0644231699	-0.0360558264	0.0512818650	0.0547465817	-0.0313283208	-0.0661648477	0.0072131492
0.0120675744	-0.0647859033	-0.0347265434	0.0526402415	0.0531375485	-0.0340553025	-0.0650484428	0.0113045099
0.0115590276	-0.0651341378	-0.0333797744	0.0539514979	0.0514541978	-0.0367137012	-0.0637537446	0.0153554033
0.0110498340	-0.0654677956	-0.0320161978	0.0552144604	0.0496988836	-0.0392981635	-0.0622843019	0.0193513283
0.0105400223	-0.0657868019	-0.0306365000	0.0564279985	0.0478740611	-0.0418034845	-0.0606441422	0.0232779806
0.0100296208	-0.0660910853	-0.0292413759	0.0575910259	0.0459822824	-0.0442246189	-0.0588377612	0.0271213038
0.0095186582	-0.0663805778	-0.0278315278	0.0587025015	0.0440261933	-0.0465566908	-0.0568701099	0.0308675398
0.0090071630	-0.0666552146	-0.0264076657	0.0597614305	0.0420085296	-0.0487950036	-0.0547465817	0.0345032780
0.0084951638	-0.0669149341	-0.0249705065	0.0607668648	0.0399321132	-0.0509350499	-0.0524729968	0.0380155034
0.0079826894	-0.0671596784	-0.0235207740	0.0617179046	0.0377998481	-0.0529725197	-0.0500555871	0.0413916431
0.0074697683	-0.0673893925	-0.0220591980	0.0626136985	0.0356147165	-0.0549033099	-0.0475009785	0.0446196115
0.0069564293	-0.0676040252	-0.0205865146	0.0634534447	0.0333797744	-0.0567235322	-0.0448161731	0.0476878533
0.0064427011	-0.0678035283	-0.0191034652	0.0642363914	0.0310981478	-0.0584295208	-0.0420085296	0.0505853850
0.0059286124	-0.0679878572	-0.0176107967	0.0649618379	0.0287730276	-0.0600178402	-0.0390857437	0.0533018341
0.0054141920	-0.0681569707	-0.0161092606	0.0656291347	0.0264076657	-0.0614852915	-0.0360558264	0.0558274765
0.0048994687	-0.0683108309	-0.0145996130	0.0662376845	0.0240053703	-0.0628289198	-0.0329270827	0.0581532710
0.0043844712	-0.0684494034	-0.0130826140	0.0667869427	0.0215695012	-0.0640460189	-0.0297080881	0.0602708918
0.0038692285	-0.0685726572	-0.0115590276	0.0672764175	0.0191034652	-0.0651341378	-0.0264076657	0.0621727586
0.0033537692	-0.0686805646	-0.0100296208	0.0677056708	0.0166107113	-0.0660910853	-0.0230348617	0.0638520630
0.0028381223	-0.0687731016	-0.0084951638	0.0680743183	0.0140947258	-0.0669149341	-0.0195989208	0.0653027935
0.0023223167	-0.0688502475	-0.0069564293	0.0683820302	0.0115590276	-0.0676040252	-0.0161092606	0.0665197571
0.0018063810	-0.0689119848	-0.0054141920	0.0686285308	0.0090071630	-0.0681569707	-0.0125754460	0.0674985971
0.0012903444	-0.0689583000	-0.0038692285	0.0688135996	0.0064427011	-0.0685726572	-0.0090071630	0.0682358097
0.0007742355	-0.0689891825	-0.0023223167	0.0689370709	0.0038692285	-0.0688502475	-0.0054141920	0.0687287558
0.0002580833	-0.0690046255	-0.0007742355	0.0689988342	0.0012903444	-0.0689891825	-0.0018063810	0.0689756708
-0.0002580833	-0.0690046255	0.0007742355	0.0689988342	-0.0012903444	-0.0689891825	0.0018063810	0.0689756708
-0.0007742355	-0.0689891825	0.0023223167	0.0689370709	-0.0038692285	-0.0688502475	0.0054141920	0.0687287558
-0.0012903444	-0.0689583000	0.0038692285	0.0688135996	-0.0064427011	-0.0685726572	0.0090071630	0.0682358097
-0.0018063810	-0.0689119848	0.0054141920	0.0686285308	-0.0090071630	-0.0681569707	0.0125754460	0.0674985971
-0.0023223167	-0.0688502475	0.0069564293	0.0683820302	-0.0115590276	-0.0676040252	0.0161092606	0.0665197571
